"utterance","keywords","relevances"
"たい。 いらっしゃいませご説明させて頂きますこちらの8 USB ポートに USB を挿していただいてよろしいでしょうかはいそうしましたら画面が画面に写真が映りますのでそちらで写真撮りたい写真を選んでいただきましてで一番右の印刷ボタンというものがございますのでそちらをしていただいてもよろしいでしょうか8 in 3まで少しお時間がかかりますので、店内ご覧になってお待ちいただけますか？","写真;8 USB ポート;USB;画面;画面;時間;店内ご覧;右;印刷ボタン;もの;8;8;3;一","0.3142690360546112;0.09666166454553604;0.09666166454553604;0.09571234881877899;0.09571234881877899;0.07283899933099747;0.06846311688423157;0.05322694033384323;0.05322694033384323;0.05322694033384323;0.0;0.0;0.0;0.0"
"たいこ茶屋5色ありまして、赤ピンク紫で黒とシルバーがございます。","たいこ茶屋;黒;シルバー;赤ピンク紫;5","0.3125189244747162;0.23222759366035461;0.23222759366035461;0.22302588820457458;0.0"
"たいこ茶屋三色ございまして黒白シルバーとございます。","たいこ茶屋;黒白シルバー;三","0.5713695287704468;0.4286305010318756;0.0"
"たい平と色が3種類ございましてえーと白と黒とシルバーの3種類となっておりますどちらをご購入されますか","平;色;黒;シルバー;白;3;3","0.25212523341178894;0.2448270171880722;0.17067818343639374;0.17067818343639374;0.16169139742851257;0.0;0.0"
"たくさんあるね。大会いくらですか？","大会","1.0"
"たくさんあるんですね。","",""
"たくさんあるんですね。自動機能撮影モード何がありますか？","自動機能撮影モード何","1.0"
"たくさん色もあるんですね。","色","1.0"
"たくさん音があるんですね。他も見ていいですか","音;他","0.6620900630950928;0.3379099369049072"
"たこ焼き下さい。","たこ焼き","1.0"
"たたたただはいはいはい","",""
"ただ、普通の写真サイズにするにはそれほど問題はないんですね。","普通;問題;写真サイズ","0.3883541524410248;0.30889201164245605;0.30275383591651917"
"ただ、重さはどれぐらいですか。","重さ","1.0"
"ただ、長いこと使っていただけるので、初期投資というか最初に買われたら長くはお使いいただけると思います。","初期投資","1.0"
"ただあちらが950 G の一眼F になりますのでそれを藤間も少し一眼レフの中ではお手頃にはなっております","藤間;中;一眼F;一眼レフ;950","0.2812626361846924;0.27714258432388306;0.259849488735199;0.1817452758550644;0.0"
"ただあちらよりは少し扱いが手軽ではなくなってしまうんですが、","扱い","1.0"
"ただいま1000円","1000円;1000","0.0;0.0"
"ただいま。","",""
"ただいま。すいませんこれすごく軽いんですけどこれって何グラムぐらいですか","何グラム","1.0"
"ただいました。","",""
"ただいました。こっちがパリ。","",""
"ただいました。すいません。","",""
"ただいました。広島戦お探しですか？","広島;戦","0.511350691318512;0.48864930868148804"
"ただいました。打ち合わせ","打ち合わせ","1.0"
"ただいました。痩せません。","",""
"ただいました。目覚まし","",""
"ただいましたが","",""
"ただいま下でご利用ください。","",""
"ただこちらの資料をお願いします","資料","1.0"
"ただこちらまで","",""
"ただそうなんですか","",""
"ただちょっと大きさも大きくはなってあちらより大きくはなってしまいますのでお値段もこちら55000円とかなりお高くなるので","大きさ;値段;55000円;55000","0.6648367047309875;0.33516329526901245;0.0;0.0"
"ただの解像度は24メガピクセルですので、大変高い数値がついております。","解像度;数値;24","0.5449713468551636;0.4550286531448364;0.0"
"ただカメラを探しですか。","カメラ","1.0"
"ただ一度お手に取ってみてください。","手","1.0"
"ただ一度お手に取ってみてください。少しあちらよりは重たく感じられると思いますご飯470 G で4倍ほどあちらのおもちゃより重たくなってますね。","手;おもちゃ;470;4","0.6399715542793274;0.3600284457206726;0.0;0.0"
"ただ値段がねだいぶ違うんではい","値段","1.0"
"ただ少しまとめさせただけ。","",""
"ただ抜いていただいてもないのに。","",""
"ただ押すだけで光学ズームはどれぐらいのズーム機能が付いてるんでしょ。","光学ズーム;ズーム機能","0.5036464333534241;0.4963535964488983"
"ただ重さが少しあちら側大変軽いものになりますのでこちら470 G と少し大きいミラーレスの一眼レフカメラになりますですので持ち歩かれるんでしたら日本の方がお手軽かと思いますが少しスマホより昨日お求めであればこちらの重たくてもよろしければこちらのソニーがよろしいかと思いますね。一度お手に取ってみてください。","重さ;もの;ミラーレス;日本;ソニー;方;手軽か;一眼レフ;カメラ;手;スマホ;470","0.13402417302131653;0.12023858726024628;0.11321111023426056;0.10284779965877533;0.1000138446688652;0.0912952646613121;0.0912952646613121;0.08554253727197647;0.07561254501342773;0.05419266223907471;0.031726207584142685;0.0"
"ただ長く使っていただいて楽しめると思います。","",""
"たまたまちょっとちょっとどれにするか迷ってるのでまた家で考えてから来ますありがとうございました","家","1.0"
"たまにことカメラのことが分かってないんですけどさ。光学ズームっていうのは","カメラ;こと;光学ズーム","0.44762372970581055;0.372594952583313;0.17978131771087646"
"たりとかして遊んでいただける機能がついてますね。","機能","1.0"
"だいたいお値段はおいくらぐらいですか？","値段","1.0"
"だいたいできるまで2時間ぐらいかかります。","2","0.0"
"だいたいどれぐらいかかる。","",""
"だいぶお求めやすくなってるか誰もいません。","",""
"だいぶそうですね高くはなりますけれどもまあよりあの本格的でお子様の写真を収めるにはこちらの方が綺麗にかなと思います","方;お子様;写真","0.3423774838447571;0.32881125807762146;0.32881125807762146"
"だいぶ値段は違っていません。","値段","1.0"
"だいぶ変わってくるん。ちょっと。","",""
"だいぶ安いですね。","",""
"だいぶ安いですね。それねこれ自動機能もついてる撮影モードとか。","撮影モード;自動機能","0.5919314026832581;0.40806862711906433"
"だいぶ安いね。","",""
"だいぶ差があるんですね。補正効果とかもあるんですねあちらには個性効果っていうのは","差;補正効果;個性効果","0.5030943155288696;0.25971561670303345;0.23719003796577454"
"だいぶ違ってくるんですねでもちょっと夜も写真撮ったりしたいんでこちらのお茶。シルバーってありますか？はいシルバーでじゃあお願いします","シルバー;写真;茶","0.48078739643096924;0.2870863974094391;0.23212622106075287"
